epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60308.4,1.66989,3.51664,3.3378,1.63655,0,0.60303,0.19954,0.20137,0.12308,0.59715,0.18977,0.19063,0.09875,1.39644,2.95706,2.05673,1.42299,0,1.76608e-05,1.76608e-05,1.76608e-05
2,62327,1.34892,2.88866,1.55395,1.38953,0,0.58702,0.32475,0.34394,0.2199,0.57847,0.31441,0.32745,0.182,1.20705,2.61402,2.04607,1.30051,0,3.18301e-05,3.18301e-05,3.18301e-05
3,64095.7,1.20862,2.63971,1.15387,1.29669,0,0.5454,0.40748,0.40916,0.26208,0.52895,0.38009,0.38329,0.21186,1.14227,2.4536,2.08506,1.24442,0,4.25013e-05,4.25013e-05,4.25013e-05
4,65842.2,1.11475,2.47584,0.9709,1.23427,0,0.57143,0.44154,0.44194,0.29267,0.55103,0.41884,0.41586,0.23477,1.05067,2.30684,2.08541,1.19188,0,3.7259e-05,3.7259e-05,3.7259e-05
5,67630.2,1.04978,2.35939,0.86723,1.19451,0,0.56543,0.45781,0.45122,0.30456,0.53897,0.43344,0.42139,0.24475,1.01126,2.23299,2.13278,1.16435,0,3.2012e-05,3.2012e-05,3.2012e-05
6,69459.8,1.00083,2.27057,0.80023,1.16715,0,0.58739,0.46272,0.46492,0.31789,0.56301,0.43979,0.43741,0.25829,0.96861,2.15496,2.10857,1.14018,0,2.6765e-05,2.6765e-05,2.6765e-05
7,71216,0.96582,2.20492,0.7563,1.14752,0,0.54879,0.49048,0.47123,0.32436,0.52923,0.46501,0.44642,0.26511,0.9438,2.11658,2.15976,1.12502,0,2.1518e-05,2.1518e-05,2.1518e-05
8,72965.6,0.93766,2.15349,0.7218,1.12975,0,0.57446,0.48549,0.47998,0.33387,0.55763,0.4631,0.45585,0.27255,0.91968,2.07552,2.16078,1.11414,0,1.6271e-05,1.6271e-05,1.6271e-05
9,74722.8,0.91331,2.11075,0.69558,1.11839,0,0.57619,0.49233,0.48374,0.33846,0.55782,0.46746,0.45612,0.27502,0.9069,2.04516,2.16609,1.10515,0,1.1024e-05,1.1024e-05,1.1024e-05
10,76466.2,0.89392,2.08242,0.67727,1.10783,0,0.57532,0.4885,0.48528,0.34319,0.56393,0.46749,0.4591,0.27896,0.89732,2.02439,2.17889,1.09972,0,5.777e-06,5.777e-06,5.777e-06
