epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1190.35,1.45861,3.1238,1.87462,1.42705,0,0.63682,0.52066,0.5244,0.32798,0.574,0.45963,0.45199,0.24951,1.26933,2.98738,1.21052,1.43619,0,0.00999751,0.0033325,0.00999751,0.0033325,0.00999751,0.0033325,0.00999751,0.0033325
2,2229.69,1.27375,2.74373,1.20637,1.29979,0,0.65813,0.55595,0.57352,0.36588,0.65556,0.4827,0.5025,0.28049,1.23437,2.77345,1.12541,1.42615,0,0.0196016,0.00653385,0.0196016,0.00653385,0.0196016,0.00653385,0.0196016,0.00653385
3,3219.43,1.27634,2.73246,1.19207,1.30066,0,0.75699,0.53316,0.61192,0.36546,0.68224,0.47239,0.5058,0.27463,1.22292,2.8419,1.13817,1.41223,0,0.0288096,0.0096032,0.0288096,0.0096032,0.0288096,0.0096032,0.0288096,0.0096032
4,4204.41,1.24228,2.65895,1.13084,1.28163,0,0.72719,0.60476,0.63792,0.39626,0.68418,0.52614,0.55801,0.31151,1.17156,2.63589,1.00693,1.39192,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5198.99,1.16169,2.49849,0.99358,1.22989,0,0.80285,0.63257,0.72527,0.45512,0.72707,0.5628,0.63378,0.35932,1.10427,2.5296,0.91547,1.32357,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6192.58,1.10747,2.38946,0.90882,1.19562,0,0.7972,0.63934,0.70324,0.46833,0.73481,0.5711,0.62346,0.37208,1.04071,2.44351,0.83996,1.27967,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,7191.9,1.06537,2.30547,0.85302,1.17215,0,0.7846,0.67319,0.70619,0.47891,0.67041,0.61547,0.60427,0.37847,0.99112,2.35534,0.8017,1.24184,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,8366.34,1.03803,2.25322,0.81727,1.1559,0,0.72532,0.73934,0.74053,0.51294,0.66949,0.67056,0.65923,0.40502,0.95618,2.27312,0.75474,1.21319,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,9400.05,1.0143,2.20066,0.78608,1.14155,0,0.83455,0.65777,0.76163,0.51378,0.77409,0.59535,0.67744,0.41887,0.93783,2.20613,0.72932,1.2059,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,10391.1,0.98964,2.15142,0.75634,1.12781,0,0.83285,0.71723,0.75484,0.52483,0.77237,0.65427,0.67503,0.42073,0.94021,2.19913,0.70044,1.20605,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,11402.4,0.97448,2.12134,0.73736,1.1182,0,0.74343,0.74819,0.758,0.53967,0.68812,0.68865,0.67762,0.43294,0.8825,2.15005,0.66757,1.16552,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,12378.2,0.95741,2.08516,0.71799,1.11081,0,0.83391,0.73439,0.7641,0.54374,0.78562,0.674,0.69044,0.44005,0.88082,2.09568,0.6471,1.16178,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,13355.1,0.94325,2.05371,0.70136,1.10316,0,0.80829,0.74228,0.76896,0.55883,0.74557,0.67542,0.68448,0.45781,0.86439,2.07073,0.62839,1.14725,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,14333.4,0.9336,2.04298,0.69311,1.09821,0,0.83624,0.73729,0.77141,0.54904,0.76549,0.67459,0.68801,0.44919,0.85486,2.04918,0.61856,1.14171,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,15307.8,0.91955,2.00666,0.67633,1.08938,0,0.81121,0.75991,0.77872,0.56758,0.76502,0.71577,0.71647,0.45686,0.83964,2.00099,0.60406,1.13295,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
